Jahr;Monat;Kalenderwoche;Startdatum Woche;Tag-Nr.;Wochentag;Sterbedatum;Anzahl Männer 0-64;Anzahl Männer 65+;Anzahl Frauen 0-64;Anzahl Frauen 65+;Anzahl Gestorbene total
2014;9;36;2014-09-01;248;Fr;2014-09-05;1;2;0;0;3
2015;9;36;2015-08-31;247;Fr;2015-09-04;2;4;0;2;8
2008;6;27;2008-06-30;182;Mo;2008-06-30;1;3;1;1;6
2009;6;27;2009-06-29;180;Mo;2009-06-29;0;1;1;2;4
2009;6;23;2009-06-01;154;Mi;2009-06-03;1;2;0;3;6
2014;12;51;2014-12-15;350;Di;2014-12-16;0;1;0;5;6
2014;9;39;2014-09-22;267;Mi;2014-09-24;0;0;0;4;4
2007;1;3;2007-01-15;19;Fr;2007-01-19;0;3;0;2;5
2007;11;48;2007-11-26;330;Mo;2007-11-26;1;3;1;6;11
2015;8;35;2015-08-24;240;Fr;2015-08-28;0;5;0;1;6
2020;3;14;2020-03-30;90;Mo;2020-03-30;1;3;0;5;9
2019;9;39;2019-09-23;271;Sa;2019-09-28;0;2;0;2;4
2017;8;35;2017-08-28;242;Mi;2017-08-30;1;2;0;3;6
2019;2;7;2019-02-11;43;Di;2019-02-12;1;2;1;1;5
2010;12;49;2010-12-06;343;Do;2010-12-09;0;1;0;5;6
2005;10;43;2005-10-24;301;Fr;2005-10-28;0;2;1;3;6
2008;3;11;2008-03-10;75;Sa;2008-03-15;1;2;0;3;6
2020;7;27;2020-06-29;185;Fr;2020-07-03;0;4;0;3;7
2017;9;39;2017-09-25;268;Mo;2017-09-25;0;7;0;4;11
2006;6;26;2006-06-26;179;Mi;2006-06-28;0;0;0;4;4
2019;6;24;2019-06-10;165;Fr;2019-06-14;1;0;0;0;1
2011;2;7;2011-02-14;50;Sa;2011-02-19;0;2;1;1;4
2007;10;44;2007-10-29;304;Mi;2007-10-31;3;5;0;2;10
2020;12;51;2020-12-14;351;Mi;2020-12-16;0;1;0;5;6
2011;5;19;2011-05-09;133;Fr;2011-05-13;0;1;0;4;5
2020;9;39;2020-09-21;268;Do;2020-09-24;0;1;0;3;4
2006;9;38;2006-09-18;262;Di;2006-09-19;1;4;0;1;6
2014;11;46;2014-11-10;317;Do;2014-11-13;0;2;0;1;3
2005;6;24;2005-06-13;168;Fr;2005-06-17;0;2;0;1;3
